rank,2023 RANK,Institution_name,location_QS,SIZE,FOCUS,RESEARCH,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,scores_overall_QS,Rank,scores_overall_THE,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location_THE,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,Country
80.0,68.0,Osaka University,Japan,L,FC,VH,4.0,A,81.3,67.0,89.1,51.0,55.3,272.0,62.7,191.0,28.6,498.0,13.2,658.0,26.7,486.0,23.4,361.0,58.6,255.0,63.9,175.0,60.4,1750.0,62.5,67.0,65.7,65.0,50.5,1008.0,100.0,20.0,51.0,773.0,Japan,22274,10.4,10,0.888888889,Japan
81.0,78.0,University of Southampton,United Kingdom,L,FC,VH,5.0,A,51.5,154.0,51.2,160.0,52.8,298.0,71.4,140.0,96.1,138.0,97.4,70.0,97.0,31.0,32.5,235.0,82.7,133.0,63.5,97.0,66.9,980.0,48.9,143.0,50.1,140.0,92.7,82.0,73.1,368.0,96.5,26.0,United Kingdom,19920,13.0,35,0.888888889,United Kingdom
84.0,91.0,University of Birmingham,United Kingdom,XL,FC,VH,5.0,A,67.5,99.0,75.7,81.0,41.3,379.0,38.2,364.0,92.3,169.0,83.9,148.0,96.0,41.0,29.5,270.0,80.4,146.0,63.0,101.0,66.6,1010.0,46.1,185.0,49.3,147.0,95.5,42.0,72.1,383.0,95.1,45.0,United Kingdom,32625,15.2,32,0.888888889,United Kingdom
85.0,95.0,Lund University,Sweden,L,FC,VH,5.0,A,69.3,93.0,47.5,185.0,50.2,310.0,37.7,373.0,98.8,102.0,77.4,173.0,95.2,52.0,66.0,83.0,99.1,14.0,62.8,106.0,66.1,1070.0,46.7,178.0,56.6,104.0,86.6,181.0,99.8,41.0,79.8,258.0,Sweden,30349,12.0,18,0.888888889,Sweden
87.0,75.0,Lomonosov Moscow State University,Russia,XL,FC,VH,5.0,A,81.2,69.0,78.3,74.0,99.8,26.0,4.6,701.0,20.3,587.0,92.3,105.0,85.2,115.0,82.2,48.0,13.4,631.0,62.2,95.0,67.0,950.0,87.5,17.0,75.2,46.0,33.9,1352.0,91.1,155.0,73.8,354.0,Russian Federation,32680,9.6,37,0.888888889,Russia
90.0,137.0,University of Technology Sydney,Australia,L,CO,VH,3.0,A,43.4,195.0,57.8,143.0,9.0,701.0,95.3,52.0,96.6,132.0,93.6,95.0,79.7,146.0,30.1,260.0,93.1,72.0,61.8,148.0,62.3,1480.0,36.2,421.0,43.3,207.0,95.9,39.0,78.9,278.0,94.3,60.0,Australia,28223,37.4,25,0.888888889,Australia
91.0,83.0,University of Zurich,Switzerland,L,FC,VH,5.0,A,59.1,126.0,27.6,352.0,89.9,88.0,52.0,248.0,100.0,60.0,53.0,274.0,87.2,100.0,75.2,58.0,80.2,149.0,61.6,80.0,69.9,800.0,54.8,103.0,53.4,121.0,91.8,96.0,93.7,131.0,92.4,96.0,Switzerland,25608,14.7,24,0.888888889,Switzerland
93.0,108.0,Boston University,United States,L,FC,VH,5.0,B,61.7,113.0,68.3,109.0,32.7,485.0,60.1,204.0,21.6,576.0,87.5,132.0,72.6,187.0,68.6,76.0,85.9,113.0,61.4,78.0,70.1,780.0,59.6,76.0,54.1,115.0,94.3,56.0,76.4,311.0,74.1,347.0,United States,26677,10.8,29,0.888888889,United States
95.0,96.0,University of St Andrews,United Kingdom,M,FO,VH,5.0,A,47.3,173.0,67.2,114.0,64.9,212.0,57.7,223.0,98.7,103.0,100.0,29.0,51.1,306.0,22.4,370.0,92.1,77.0,61.0,193.0,59.0,1960.0,46.0,192.0,42.6,218.0,77.7,377.0,63.6,575.0,95.8,34.0,United Kingdom,10325,12.4,46,0.888888889,United Kingdom
97.0,88.0,Georgia Institute of Technology,United States,L,CO,VH,5.0,A,67.4,100.0,85.1,59.0,15.3,701.0,67.1,163.0,38.8,417.0,65.4,230.0,33.2,432.0,41.7,175.0,70.4,201.0,60.9,36.0,80.0,360.0,63.4,63.0,78.9,33.0,94.1,57.0,94.6,123.0,84.8,190.0,United States,32079,28.0,29,0.888888889,United States
100.0,114.0,University of Nottingham,United Kingdom,XL,FC,VH,5.0,A,60.7,116.0,72.1,96.0,32.2,492.0,46.5,290.0,90.0,183.0,75.2,185.0,98.4,18.0,24.4,342.0,80.0,150.0,60.4,130.0,63.8,1300.0,45.6,196.0,45.9,180.0,90.6,115.0,71.2,402.0,92.8,87.0,United Kingdom,33520,16.0,27,0.888888889,United Kingdom
102.0,83.0,University of Wisconsin-Madison,United States,XL,FC,VH,5.0,A,80.2,71.0,47.8,182.0,61.3,229.0,37.4,376.0,30.9,483.0,22.8,501.0,83.6,126.0,73.1,61.0,83.7,126.0,60.0,63.0,73.3,630.0,68.5,46.0,67.5,59.0,85.5,200.0,79.8,267.0,62.8,526.0,United States,41209,9.9,13,0.888888889,United States
105.0,128.0,Uppsala University,Sweden,L,FC,VH,5.0,A,62.7,111.0,30.5,320.0,47.7,330.0,45.6,296.0,98.3,108.0,82.4,152.0,95.5,47.0,58.2,105.0,99.4,12.0,59.4,140.0,62.8,1420.0,43.9,223.0,55.0,111.0,81.3,296.0,97.7,92.0,74.7,336.0,Sweden,24749,13.3,17,0.888888889,Sweden
106.0,147.0,RWTH Aachen University,Germany,XL,FC,VH,5.0,A,49.7,163.0,93.0,44.0,5.5,701.0,78.7,120.0,49.0,362.0,83.0,151.0,63.5,223.0,23.9,354.0,53.4,288.0,59.3,90.0,68.0,900.0,54.9,101.0,64.8,67.0,78.9,347.0,100.0,22.0,71.2,390.0,Germany,34914,43.3,29,0.888888889,Germany
