rank,clean_rank,name,location,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,KPI_Global_Ranking_Score,KPI_Research_Impact_Score,KPI_Faculty_To_Student_Ratio,KPI_International_Student_Pct,KPI_Academic_Reputation_Score,KPI_Research_Productivity_Index,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
1201â€“1500,1201.0,University of Nigeria Nsukka,Nigeria,QS World University Rankings 2026,43108.0,11.7,16.2,22.42,0.0855,1.0,29.1,18.5,16.2,29.1,10.6,30.3,17.3,37.0
1201â€“1500,1201.0,Ochanomizu University,Japan,QS World University Rankings 2026,2678.0,14.5,25.5,18.42,0.069,6.0,33.2,20.62,25.5,33.2,16.5,19.7,36.5,38.2
1201â€“1500,1201.0,Oles Honchar Dnipro National University,Ukraine,QS World University Rankings 2026,7478.0,10.1,25.5,8.04,0.099,2.0,25.1,9.92,25.5,25.1,9.0,7.4,18.9,21.5
1201â€“1500,1201.0,Opole University of Technology,Poland,QS World University Rankings 2026,5096.0,13.7,25.5,27.9,0.073,6.0,18.5,22.73,25.5,18.5,13.8,37.3,18.5,36.1
1201â€“1500,1201.0,University of Oradea,Romania,QS World University Rankings 2026,15820.0,17.5,25.5,26.84,0.0571,6.0,16.7,22.08,25.5,16.7,14.6,35.0,16.9,41.0
1201â€“1500,1201.0,Osaka Metropolitan University,Japan,QS World University Rankings 2026,15734.0,11.5,25.5,25.36,0.087,4.0,29.1,31.7,25.5,29.1,18.7,29.8,79.5,26.6
1201â€“1500,1201.0,Osmania University,India,QS World University Rankings 2026,10520.0,25.7,30.45,25.18,0.0389,3.0,33.9,23.19,30.450000000000003,33.9,16.3,31.1,27.7,21.4
1201â€“1500,1201.0,Paris Nanterre University,France,QS World University Rankings 2026,35218.0,23.4,43.6,23.46,0.0427,16.0,20.9,24.6,43.6,20.9,16.8,27.9,42.9,66.7
1201â€“1500,1201.0,University of Pau and Pays de lâ€™Adour,France,QS World University Rankings 2026,14105.0,13.9,43.6,17.92,0.0719,15.0,23.4,18.04,43.6,23.4,12.4,21.6,28.5,79.9
1201â€“1500,1201.0,Pavol Jozef Å afÃ¡rik University in KoÅ¡ice,Slovakia,QS World University Rankings 2026,7060.0,10.3,25.5,14.34,0.0971,24.0,40.7,14.82,25.5,40.7,10.2,17.1,24.9,62.1
1201â€“1500,1201.0,Persian Gulf University,Iran,QS World University Rankings 2026,5499.0,23.1,30.45,32.94,0.0433,5.0,17.8,27.3,30.450000000000003,17.8,14.1,45.5,28.8,38.2
1201â€“1500,1201.0,University of the Philippines,Philippines,QS World University Rankings 2026,53676.0,11.1,20.85,29.34,0.0901,0.0,25.4,24.62,20.85,25.4,15.3,38.7,22.8,38.4
1201â€“1500,1201.0,Pirogov Russian National Research Medical University,Russia,QS World University Rankings 2026,9613.0,6.9,16.2,14.02,0.1449,4.0,44.2,15.94,16.2,44.2,13.3,14.5,28.1,22.6
1201â€“1500,1201.0,Polytechnic Institute of Porto,Portugal,QS World University Rankings 2026,19211.0,16.9,39.4,34.52,0.0592,5.0,15.0,26.62,39.4,15.0,11.9,49.6,22.1,31.8
1201â€“1500,1201.0,Pontifical Catholic University of Peru,Peru,QS World University Rankings 2026,27960.0,7.3,25.5,21.74,0.137,1.0,24.8,17.83,25.5,24.8,9.8,29.7,16.9,45.6
1201â€“1500,1201.0,Pontifical Catholic University of ValparaÃ­so,Chile,QS World University Rankings 2026,18104.0,26.2,25.5,26.52,0.0382,1.0,15.8,25.74,25.5,15.8,17.1,32.8,38.1,51.1
1201â€“1500,1201.0,Pontifical Javeriana University,Colombia,QS World University Rankings 2026,28879.0,12.9,16.2,27.04,0.0775,2.0,20.7,21.99,16.2,20.7,11.5,37.4,21.0,45.3
1201â€“1500,1201.0,PontifÃ­cia Universidade CatÃ³lica do ParanÃ¡,Brazil,QS World University Rankings 2026,11476.0,13.0,16.2,25.7,0.0769,1.0,26.3,24.86,16.2,26.3,12.8,34.3,43.0,30.7
1201â€“1500,1201.0,Port Said University,Egypt,QS World University Rankings 2026,29241.0,28.3,30.45,35.62,0.0353,0.0,13.7,25.56,30.450000000000003,13.7,8.5,53.7,16.8,46.6
1201â€“1500,1201.0,PoznaÅ„ University of Life Sciences,Poland,QS World University Rankings 2026,6184.0,8.5,25.5,31.64,0.1176,6.0,25.1,25.58,25.5,25.1,11.3,45.2,27.4,25.9
1201â€“1500,1201.0,Poznan University of Technology,Poland,QS World University Rankings 2026,14304.0,11.4,25.5,26.74,0.0877,6.0,22.6,25.33,25.5,22.6,13.0,35.9,41.8,26.9
1201â€“1500,1201.0,Prince of Songkla University,Thailand,QS World University Rankings 2026,33318.0,12.9,25.5,25.48,0.0775,2.0,23.4,25.34,25.5,23.4,14.8,32.6,43.5,37.7
1201â€“1500,1201.0,University of Puerto Rico,Puerto Rico,QS World University Rankings 2026,43535.0,15.2,25.5,29.04,0.0658,1.0,25.0,25.62,25.5,25.0,11.4,40.8,37.6,44.4
1201â€“1500,1201.0,Pukyong National University,"Korea, South",QS World University Rankings 2026,16563.0,11.4,43.6,22.66,0.0877,10.0,26.7,22.78,43.6,26.7,13.9,28.5,39.0,36.4
1201â€“1500,1201.0,University of Qom,Iran,QS World University Rankings 2026,11828.0,43.0,30.45,25.9,0.0233,33.0,22.2,20.93,30.450000000000003,22.2,12.1,35.1,17.3,48.6
1201â€“1500,1201.0,University Rey Juan Carlos,Spain,QS World University Rankings 2026,42153.0,19.4,34.8,36.08,0.0515,6.0,15.8,29.32,34.8,15.8,13.4,51.2,31.3,39.9
1201â€“1500,1201.0,Rikkyo University,Japan,QS World University Rankings 2026,19783.0,14.4,25.5,24.12,0.0694,4.0,18.6,19.5,25.5,18.6,9.3,34.0,19.7,58.4
1201â€“1500,1201.0,Ritsumeikan University,Japan,QS World University Rankings 2026,35119.0,17.4,25.5,22.0,0.0575,10.0,19.8,21.08,25.5,19.8,13.9,27.4,30.3,46.8
1201â€“1500,1201.0,UniversitÃ© Saint-Joseph de Beyrouth,Lebanon,QS World University Rankings 2026,7941.0,10.9,43.6,18.88,0.0917,7.0,32.6,17.97,43.6,32.6,10.9,24.2,27.0,69.7
1201â€“1500,1201.0,Saitama Medical University,Japan,QS World University Rankings 2026,1915.0,1.4,25.5,27.7,0.7143,0.0,26.5,25.13,25.5,26.5,10.3,39.3,41.5,18.3
1201â€“1500,1201.0,Sakarya University,Turkey,QS World University Rankings 2026,42601.0,26.6,16.2,31.48,0.0376,7.0,16.5,24.79,16.2,16.5,10.6,45.4,24.0,28.4
1201â€“1500,1201.0,Samara National Research University (Samara University),Russia,QS World University Rankings 2026,9198.0,10.7,16.2,19.0,0.0935,14.0,27.5,19.02,16.2,27.5,14.8,21.8,26.6,37.1
1201â€“1500,1201.0,Sapporo Medical University,Japan,QS World University Rankings 2026,1294.0,3.3,25.5,25.02,0.303,0.0,29.7,26.78,25.5,29.7,12.9,33.1,58.3,17.6
1201â€“1500,1201.0,SASTRA University,India,QS World University Rankings 2026,10360.0,13.1,30.45,31.52,0.0763,3.0,22.4,25.94,30.450000000000003,22.4,11.3,45.0,30.3,29.4
1201â€“1500,1201.0,Sathyabama Institute of Science and Technology,India,QS World University Rankings 2026,13406.0,10.6,30.45,25.02,0.0943,5.0,31.2,19.77,30.450000000000003,31.2,9.9,35.1,16.9,29.7
1201â€“1500,1201.0,Universitas Sebelas Maret,Indonesia,QS World University Rankings 2026,27580.0,16.9,16.2,28.06,0.0592,2.0,19.3,28.76,16.2,19.3,19.3,33.9,48.3,33.3
1201â€“1500,1201.0,SelÃ§uk University,Turkey,QS World University Rankings 2026,32183.0,14.0,16.2,27.78,0.0714,8.0,22.4,28.78,16.2,22.4,14.4,36.7,58.2,34.1
