Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
University of South Africa,South Africa,ZA,Africa,XL,CO,VH,5,Public,901-950,851-900,851-900,,-,-,13.8,701+,13.6,701+,1.2,801+,11.7,801+,,,13.3,801+,10.1,801+,92.5,138,96.0,66,43.3,801+,9.6,601+,4.9,601+,1.0,701+,8.8,701+,,,8.0,701+,81.8,136,66.6,81,,
University of South Alabama (USA),United States,US,Americas,L,CO,HI,4,Public,1201-1400,1201-1400,1201-1400,1201-1400,-,-,5.6,701+,11.1,701+,23.1,772,13.1,801+,,,2.7,801+,2.3,801+,13.7,801+,3.2,801+,28.9,801+,5.3,601+,4.4,601+,17.3,701+,6.5,701+,,,1.8,701+,1.1,701+,7.6,701+,1.2,701+
University of South Australia,Australia,AU,,L,CO,VH,3,A,,,=326,363=,,32.7,,,,,,,,,,,,,,,,,,,,,22.5,390,14.0,580,22.4,625,32.8,415,99.8,80,45.1,322,58.6,256,15.4,544,81.7,137=
University of South Bohemia,Czech Republic,CZ,Europe,M,CO,VH,3,Public,1001-1200,951-1000,1001-1200,701-750,-,-,7.1,701+,5.8,701+,53.7,350,12.5,801+,27.7,618,19.8,730,26.0,670,57.2,731,2.5,801+,47.0,789=,5.5,601+,2.6,601+,68.7,190,4.8,701+,,,,,5.9,701+,7.7,701+,1.2,701+
University of South Carolina,United States,US,Americas,L,FC,VH,5,Public,628,601-610,=575,701-750,27.4,20.6,17.7,693,21.9,605,13.5,801+,37.1,502,54.6,414,5.9,801+,10.0,801+,68.0,568,28.0,593,68.9,331=,14.7,590,11.8,601+,8.9,701+,33.6,407,37.8,424,3.5,701+,40.8,370,17.1,494,39.6,365
University of South Florida,United States,US,Americas,XL,CO,VH,4,Public,654,621-630,=563,601-650,26.6,20.9,17.4,701+,20.4,646,13.8,801+,36.7,507,14.3,801+,41.4,480,46.7,444,81.9,314,13.5,801+,66.4,371=,13.2,601+,10.2,601+,7.9,701+,36.6,381,30.7,485,13.8,646,57.8,261,10.6,701+,34.9,400=
University of Southampton,United Kingdom,UK,Europe,L,FC,VH,5,Public,87,80,=81,78,71.2,63.5,62.6,163,55.9,214,40.1,504,87.8,111,96.8,153,98.6,82,98.6,69,97.4,32,58.6,279,95.1,23,51.5,154,51.2,160,52.8,298,71.4,140,96.1,138,97.4,70,97.0,31,32.5,235,82.7,133=
University of Southern California,United States,US,Americas,XL,FC,VH,5,Private not for Profit,146,125,116,134,62.6,57.1,61.2,167,69.6,150,19.6,801+,66.2,240,15.8,786,81.2,219,82.9,184,87.8,204,98.0,45,92.1,45=,52.5,150,47.6,183,21.7,634,68.0,157,31.8,474,73.5,191,62.8,228,93.1,32,98.9,15
University of Southern Denmark,Denmark,,Europe,L,CO,VH,,Public,303,324,,,45.1,,29.2,425,24.9,540,31.9,602,68.4,227,91.7,212,46.4,435,51.3,403,77.4,394,27.0,607,85.0,110=,,,,,,,,,,,,,,,,,,
University of Southern Denmark (SDU),Denmark,DK,,L,CO,VH,4,A,,,=326,347=,,32.7,,,,,,,,,,,,,,,,,,,,,20.0,441,18.0,485,27.1,558,40.7,337,83.2,220,22.7,503,49.7,315,17.7,469,88.7,100
University of Southern Queensland,Australia,AU,Oceania,M,CO,VH,3,Public,410,396,=410,651-700,36.7,27.2,11.0,701+,8.2,701+,7.9,801+,90.1,103,78.5,304,48.7,416,52.0,398,82.2,307,11.0,801+,65.5,387=,8.5,601+,6.8,601+,4.5,701+,59.6,209,76.1,245,26.3,462,60.6,240,12,701+,51.2,299=
University of Split,Croatia,HR,Europe,L,FC,HI,3,Public,1201-1400,1201-1400,1201-1400,1201-1400,-,-,7.6,701+,9.2,701+,8.7,801+,8.8,801+,1.6,801+,3.3,801+,7.5,801+,52.3,801+,22.4,687,44.8,801+,5.9,601+,2.5,601+,4.2,701+,3.9,701+,1.5,701+,2.1,701+,5.9,701+,11,701+,1.4,701+
University of Sri Jayewardenepura,Sri Lanka,,Asia,L,CO,HI,,Public,1401+,1201-1400,,,-,,8.0,701+,12.2,701+,5.7,801+,7.0,801+,,,1.3,801+,5.7,801+,27.8,801+,22.8,674,27.4,801+,,,,,,,,,,,,,,,,,,
University of St Andrews,United Kingdom,UK,Europe,M,FO,VH,5,Public,113,104,=95,96=,66.4,61.0,61.5,165,74.9,127,63.8,278,51.3,368,98.8,131,99.7,47,99.7,36,87.7,208,28.9,575,86.2,97,47.3,173,67.2,114,64.9,212,57.7,223,98.7,103,100.0,29,51.1,306,22.4,370,92.1,77=
University of St.Gallen (HSG),Switzerland,CH,,M,SP,,5,A,,,=436,501-510,,26.0,,,,,,,,,,,,,,,,,,,,,9.0,601+,27.6,350,6.2,701+,22.8,515,100.0,52,83.1,150,1.0,701+,94.8,26,1.6,701+
University of Stavanger,Norway,NO,Europe,M,CO,VH,2,,851-900,801-850,1401+,,-,-,10.4,701+,11.2,701+,83.2,151,10.9,801+,,,,,,,72.2,496,12.9,801+,45.2,801+,7.2,601+,5.7,601+,,,,,,,,,26.3,489,,,,
University of Stirling,United Kingdom,UK,Europe,M,CO,VH,4,Public,517,452,=431,501-510,31.4,26.2,16.8,701+,13.1,701+,14.6,801+,38.3,489,79.5,299,81.3,218,83.0,183,62.7,655,22.4,685,81.2,158=,11.5,601+,10.2,601+,10.5,701+,34.7,391,71.9,266,83.5,149,14.4,607,14.8,566,79.8,152=
University of Strathclyde,United Kingdom,UK,Europe,L,CO,VH,4,Public,251,281,=276,325=,50.2,37.0,37.5,319,40.5,335,17.8,801+,57.2,306,99.2,122,89.0,175,90.0,149,84.5,263,46.0,379,84.6,117=,26.3,334,34.6,281,17.7,701+,33.7,405,93.3,161,67.0,222,61.6,235,24,353,59.2,252=
University of Surrey,United Kingdom,UK,Europe,L,CO,VH,4,Public,262,285,244,305,49.3,39.9,29.7,411,30.0,475,33.4,583,74.4,182,98.0,139,88.7,181,89.7,152,86.6,227,30.7,539,60.4,499=,20.4,428,23.4,409,23.2,613,56.2,230,96.8,129,88.3,127,71.1,192,16.8,503,57.7,259=
University of Sussex,United Kingdom,UK,Europe,L,FC,VH,4,Public,278,246,218,240=,47.9,43.1,33.8,360,21.0,624,21.4,801+,60.7,283,99.0,129,89.5,172,90.4,146,86.3,232,53.6,314,90.0,63=,22.9,380,8.9,601+,14.6,701+,70.9,142,96.1,137,93.0,100,62.9,226,30.6,251,97.2,35
University of Szeged,Hungary,HU,Europe,L,FC,HI,5,Private not for Profit,597,570,601-610,551-560,28.3,-,26.2,484,22.7,583,41.9,482,8.9,801+,15.4,801+,56.4,368,60.6,336,75.3,438,29.0,574,69.4,323=,18.0,498,12.0,601+,44.6,352,4.9,701+,11.9,701+,50.5,288,34.6,420,9.1,701+,34.9,400=
University of Tabriz,Iran (Islamic Republic of),,Asia,L,CO,VH,,Public,578,552,,,29,,9.7,701+,11.2,701+,2.9,801+,91.7,94,1.7,801+,25.4,655,24.4,697,76.9,408,5.1,801+,29.6,801+,,,,,,,,,,,,,,,,,,
University of Tabuk,Saudi Arabia,,Asia,L,FC,HI,,Public,1001-1200,1001-1200,,,-,,8.8,701+,3.5,701+,27.3,693,6.7,801+,93.7,197,5.5,801+,9.9,801+,42.7,801+,2.8,801+,34.7,801+,,,,,,,,,,,,,,,,,,
University of Tartu,Estonia,EE,Europe,M,FC,VH,5,Public,362,358,=358,296=,40.9,30.8,28.6,437,23.7,567,94.6,79,19.1,728,62.1,374,20.8,712,26.9,654,89.0,186,89.2,112,64.2,417=,24.4,355,9.0,601+,91.5,78,11.5,701+,46.5,372,22.2,513,73.7,177,42.1,171,27.6,471=
University of Tasmania,Australia,AU,Oceania,M,CO,VH,5,Public,314,293,=307,293=,44.3,33.9,22.5,556,12.2,701+,34.3,572,72.8,192,87.1,244,91.7,152,92.3,129,80.4,348,25.0,640,84.0,124=,17.2,520,7.8,601+,17.7,701+,58.1,220,75.1,254,95.8,84,48.8,320,14.8,562,47.2,323=
University of Technology Sydney,Australia,AU,Oceania,L,CO,VH,3,Public,96,88,90,137,69.9,61.8,58.7,180,66.7,159,11.8,801+,99.3,33,97.6,146,91.7,151,92.3,128,89.7,177,52.3,323,92.0,47,43.4,195,57.8,143,9.0,701+,95.3,52,96.6,132,93.6,95,79.7,146,30.1,260,93.1,72
University of Tehran,Iran (Islamic Republic of),,Asia,XL,CO,VH,,Public,322,368,,,43.3,,31.0,394,41.8,322,4.2,801+,91.1,97,2.5,801+,3.3,801+,2.7,801+,86.8,223,58.1,284,45.5,801+,,,,,,,,,,,,,,,,,,
University of Tehran,"Iran, Islamic Republic of",IR,,XL,CO,VH,4,A,,,=360,501-510,,30.7,,,,,,,,,,,,,,,,,,,,,18.7,476,38.8,249,3.4,701+,67.5,159,2.1,701+,1.8,701+,68.6,203,17.5,475,18.4,560=
University of Tennessee,United States,,Americas,XL,FC,VH,,Public,607,481,,,28,,14.3,701+,11.7,701+,12.9,801+,69.3,220,6.9,801+,4.6,801+,9.8,801+,68.6,557,25.2,636,54.8,606=,,,,,,,,,,,,,,,,,,
University of Texas Arlington,United States,,Americas,XL,CO,VH,,Public,1001-1200,1001-1200,,,-,,7.0,701+,9.2,701+,6.6,801+,16.4,776,12.7,801+,39.7,492,45.2,460,57.7,722,14.9,801+,64.5,409=,,,,,,,,,,,,,,,,,,
University of Texas at Austin,United States,US,Americas,XL,FC,VH,5,Public,68,66,58,72,76.4,71.8,97.6,39,96.8,38,10.7,801+,85.4,122,9.1,801+,19.1,742,14.4,801+,90.5,169,93.9,82,70.6,308=,93.5,35,83.2,65,8.9,701+,86.7,85,9.3,701+,11.0,691,79.4,147,70,73,77.7,163=
University of Texas at Dallas,United States,,Americas,L,FC,VH,,Public,597,596,,,28.3,,19.3,641,33.7,426,5.5,801+,43.0,438,14.4,801+,61.1,335,64.9,305,55.3,765,9.1,801+,48.9,733,,,,,,,,,,,,,,,,,,
University of Texas at San Antonio,United States,US,Americas,L,FC,HI,4,Public,1001-1200,1001-1200,1001-1200,1001-1200,-,-,6.7,701+,6.0,701+,5.8,801+,30.6,581,14.1,801+,4.6,801+,3.7,801+,59.9,694,8.0,801+,44.5,801+,6.2,601+,3.0,601+,3.7,701+,25.2,482,13.5,695,2.8,701+,17.6,567,8.8,701+,5.9,701+
University of Texas Dallas,United States,US,,L,FC,VH,4,A,,,=520,521-530,,22.6,,,,,,,,,,,,,,,,,,,,,13.3,601+,11.6,601+,3.8,701+,54.5,236,5.4,701+,35.5,376,23.8,509,8.4,701+,41.1,358=
University of Texas El Paso,United States,US,Americas,L,CO,VH,5,Public,1201-1400,1001-1200,1001-1200,1201-1400,-,-,6.8,701+,3.7,701+,7.6,801+,21.5,690,13.9,801+,10.1,801+,7.8,801+,61.6,669,9.1,801+,41.5,801+,4.8,601+,2.1,601+,5.6,701+,15.6,623,10.5,701+,5.9,701+,15.5,588,7.5,701+,3.4,701+
University of the Algarve,Portugal,,Europe,M,CO,VH,,,1001-1200,,,,-,,7.2,701+,3.2,701+,13.6,801+,28.3,604,6.6,801+,53.0,388,57.4,355,66.3,604,3.0,801+,45.0,801+,,,,,,,,,,,,,,,,,,
University of the Basque Country,Spain,ES,,XL,CO,VH,3,A,,,621-630,701-750,,-,,,,,,,,,,,,,,,,,,,,,19.4,457,6.4,601+,34.7,462,17.4,593,2.5,701+,3.8,701+,73.6,178,7,701+,21.2,533=
University of the Free State,South Africa,ZA,Africa,L,FO,VH,5,Public,1001-1200,1001-1200,1001-1200,,-,-,7.2,701+,12.1,701+,4.9,801+,13.8,801+,,,8.3,801+,6.4,801+,93.7,107,18.4,751,41.7,801+,5.6,601+,6.6,601+,3.5,701+,7.9,701+,,,4.9,701+,66.4,211,9.6,701+,,
University of the Pacific,United States,US,Americas,M,CO,HI,5,Private not for Profit,1401+,1201-1400,1201-1400,1001-1200,-,-,1.8,701+,7.2,701+,40.1,503,4.8,801+,3.5,801+,21.0,711,15.8,801+,9.6,801+,13.0,801+,9.9,801+,2.2,601+,3.7,601+,34.3,466,3.4,701+,4.2,701+,7.2,701+,1.0,701+,10.8,701+,1,701+
University of the Philippines,Philippines,PH,Asia,XL,FC,HI,5,Public,362,336,=404,412=,40.9,27.6,50.6,220,71.1,143,42.7,467,3.2,801+,2.4,801+,1.2,801+,5.7,801+,66.4,600,80.8,155,68.9,331=,34.4,250,58.9,136,38.0,415,1.9,701+,1.6,701+,1.1,701+,9.3,685,35.3,213,38.7,370=
University of the Punjab,Pakistan,PK,Asia,XL,CO,VH,5,Public,542,570,741-750,801-1000,30.3,-,22.5,559,57.6,203,5.7,801+,24.4,649,4.0,801+,1.7,801+,6.1,801+,71.8,504,89.4,109,44.3,801+,14.2,601+,52.3,154,5.3,701+,9.8,701+,2.9,701+,1.3,701+,5.2,701+,14.6,574,4.9,701+
University of the Sunshine Coast ,Australia,AU,,L,CO,HI,3,A,,,1001-1200,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,3.0,601+,2.2,601+,2.3,701+,22.8,517,2.9,701+,18.5,565,6.4,701+,6.1,701+,7.1,701+
University of the West of England,United Kingdom,UK,,XL,CO,HI,3,A,,,741-750,801-1000,,-,,,,,,,,,,,,,,,,,,,,,9.2,601+,9.4,601+,8.4,701+,10.8,701+,48.4,363,75.8,183,24.8,499,8.9,701+,21.6,528=
University of the Western Cape,South Africa,ZA,Africa,L,CO,VH,4,Public,951-1000,951-1000,951-1000,1001-1200,-,-,12.0,701+,6.4,701+,6.1,801+,23.9,656,30.3,583,5.5,801+,10.5,801+,84.4,267,28.1,592,35.7,801+,8.4,601+,7.8,601+,4.2,701+,15.1,634,26.4,516,4.0,701+,40.5,372,11.7,701+,4.9,701+
University of The Witwatersrand,South Africa,,Africa,L,FC,VH,,Public,291,267,,,46.4,,36.8,328,50.9,246,14.0,801+,40.2,468,86.8,246,9.4,801+,15.1,801+,96.7,44,99.5,21,85.6,104=,,,,,,,,,,,,,,,,,,
University of Toledo,United States,US,Americas,L,FC,HI,,Public,1001-1200,1001-1200,1001-1200,1001-1200,-,-,4.2,701+,4.5,701+,13.8,801+,28.8,598,7.7,801+,21.6,702,16.3,801+,45.4,801+,14.5,801+,39.9,801+,3.8,601+,4.4,601+,8.7,701+,21.4,538,9.6,701+,8.8,701+,5.1,701+,10.3,701+,,
University of Toronto,Canada,CA,Americas,XL,FC,VH,5,Public,29,25,21,34=,88.5,86.3,100.0,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91,98.0,78,97.0,37,99.4,22,100.0,1,99.7,11,96.0,33,54.2,283,57.2,226,95.7,145,96.4,80,95.5,46,96.4,22,99.9,2
University of Trento,Italy,IT,Europe,L,CO,VH,4,Public,485,506,=429,457=,32.9,26.3,34.8,346,18.6,693,32.9,589,40.0,470,32.3,560,11.3,801+,17.2,801+,85.6,244,7.1,801+,51.8,665=,24.6,352,8.9,601+,19.3,685,44.0,305,26.9,509,6.2,701+,61.0,238,9.3,701+,34.9,400=
University of Trieste,Italy,IT,Europe,L,FC,VH,4,Public,751-760,721-730,691-700,701-750,-,-,16.1,701+,7.8,701+,5.5,801+,53.8,345,11.6,801+,16.8,783,22.9,721,70.8,514,18.7,746,36.4,801+,11.9,601+,3.6,601+,4.0,701+,45.5,297,6.4,701+,7.6,701+,37.6,397,12.9,666,4,701+
University of Tripoli,Libya,,Africa,XL,FC,MD,,Public,1401+,,,,-,,6.8,701+,12.8,701+,8.6,801+,1.3,801+,1.2,801+,3.4,801+,7.6,801+,30.6,801+,28.7,582,11.2,801+,,,,,,,,,,,,,,,,,,
"University of Tromso, The Arctic University of Norway",Norway,,Europe,L,FC,VH,,Public,648,621-630,,,26.8,,15.5,701+,7.9,701+,82.5,154,12.0,801+,75.9,313,12.9,801+,9.8,801+,80.8,334,9.3,801+,51.4,675=,,,,,,,,,,,,,,,,,,
University of Tromsø The Arctic University of Norway,Norway,NO,,L,FC,HI,4,A,,,=577,454=,,20.5,,,,,,,,,,,,,,,,,,,,,12.1,601+,3.7,601+,70.5,182,8.9,701+,70.4,273,7.7,701+,42.5,360,9.6,701+,21.8,524=
University of Tsukuba,Japan,JP,Asia,L,FC,VH,4,Public,350,377,=355,312=,41.5,30.9,49.9,225,32.9,436,58.9,307,30.0,588,18.1,742,31.1,577,37.0,526,68.4,561,18.1,757,73.4,267=,35.8,242,24.0,402,59.0,243,19.0,569,13.8,691,21.2,529,31.7,450,11.5,701+,57.7,259=
University of Tulsa,United States,US,Americas,S,CO,VH,5,Private not for Profit,1001-1200,1001-1200,1001-1200,801-1000,-,-,2.8,701+,5.3,701+,49.8,387,15.1,801+,20.7,699,39.7,493,45.2,461,22.2,801+,22.5,682,46.7,799=,2.4,601+,3.0,601+,37.8,417,12.3,692,5.1,701+,12.2,675,1.0,701+,15.4,543,1.1,701+
University of Turin,Italy,IT,Europe,XL,FC,VH,5,Public,408,371,=364,475=,36.9,30.3,48.1,237,14.3,701+,5.1,801+,42.5,447,5.2,801+,10.1,801+,16.0,801+,90.0,175,61.4,257,78.7,188=,39.8,213,5.7,601+,2.9,701+,36.8,380,4.6,701+,5.4,701+,69.4,199,32.5,236,84.3,123=
University of Turku,Finland,FI,Europe,L,FC,VH,5,Public,366,375,=315,291,40.6,33.4,36.3,334,20.2,651,63.2,279,39.6,476,46.2,462,8.9,801+,14.7,801+,89.2,184,46.1,378,74.4,250=,28.3,311,21.1,440,52.3,302,32.4,417,27.2,505,4.3,701+,62.9,227,27.8,291,77.7,163=
University of Twente,Netherlands,NL,Europe,M,CO,VH,4,Public,203,233,210,212=,55.2,44.4,29.3,422,40.5,333,56.0,333,77.0,169,100.0,93,95.2,124,70.8,264,85.4,248,32.6,519,79.6,179,20.6,422,38.3,254,39.4,404,65.3,171,99.3,94,91.1,112,67.6,208,12.6,687,33.2,416=
University of Tyumen,Russia,RU,Europe,M,CO,VH,4,Public,1201-1400,1201-1400,1001-1200,801-1000,-,-,2.7,701+,3.4,701+,44.0,451,2.6,801+,6.0,801+,23.2,687,25.0,685,25.1,801+,5.7,801+,30.3,801+,4.1,601+,2.3,601+,39.0,407,1.6,701+,4.8,701+,15.2,616,1.7,701+,8.7,701+,3,701+
University of Ulsan,Republic of Korea,,Asia,L,FC,VH,,Private not for Profit,801-850,801-850,,,-,,6.0,701+,3.8,701+,60.2,300,50.1,374,2.7,801+,3.6,801+,7.9,801+,29.1,801+,6.4,801+,44.2,801+,,,,,,,,,,,,,,,,,,
University of Ulsan ,South Korea,KR,,L,FC,VH,3,B,,,751-760,561-570,,-,,,,,,,,,,,,,,,,,,,,,6.9,601+,2.5,601+,57.8,249,34.3,399,2.5,701+,3.4,701+,1.8,701+,6.9,701+,1.3,701+
University of Ulster,United Kingdom,,Europe,L,CO,VH,,Public,609,559,,,27.9,,12.6,701+,19.8,664,11.4,801+,19.0,731,100.0,94,90.1,166,90.9,141,71.5,508,10.1,801+,75.6,227,,,,,,,,,,,,,,,,,,
University of Utah,United States,US,Americas,XL,FC,VH,5,Public,540,531,=441,392=,30.5,25.9,21.8,570,13.1,701+,53.8,349,38.3,488,21.2,695,18.2,759,24.3,699,74.5,455,28.3,588,59.6,509=,15.9,548,6.0,601+,53.0,295,36.5,383,25.3,530,10.1,701+,54.4,289,14.9,560,49,315
University of Vermont,United States,US,Americas,L,FC,HI,5,Public,1001-1200,1001-1200,901-950,701-750,-,-,3.7,701+,6.8,701+,39.8,509,23.0,669,8.8,801+,3.8,801+,8.8,801+,66.2,607,22.3,690,52.0,663=,3.3,601+,3.2,601+,53.2,293,12.8,683,3.3,701+,2.5,701+,14.5,602,14.6,573,20.3,542=
University of Victoria,Canada,,Americas,L,CO,VH,,Public,358,349,,,41.1,,25.6,495,17.3,701+,6.2,801+,78.7,163,97.2,149,46.0,440,51.0,406,61.3,673,21.2,703,79.9,172=,,,,,,,,,,,,,,,,,,
University of Victoria (UVic),Canada,CA,,L,CO,VH,4,A,,,322,359=,,33.0,,,,,,,,,,,,,,,,,,,,,17.3,514,7.6,601+,3.5,701+,65.0,174,95.2,149,48.6,304,19.0,551,12.2,701+,89.8,94
University of Vienna,Austria,AT,Europe,XL,FC,VH,5,Public,152,137,=130,151,61.9,53.7,82.3,88,46.4,285,31.0,617,22.2,682,100.0,71,96.6,103,96.8,90,96.3,53,92.8,85,71.8,294=,70.8,88,42.5,217,22.0,629,14.5,646,99.3,92,88.1,129,93.5,62,56.8,109,74.1,180
University of Virginia,United States,US,Americas,L,FC,VH,5,Public,275,297,260,253=,48.1,38.5,46.5,250,47.9,272,68.2,245,36.5,513,5.3,801+,19.2,740,14.5,801+,82.6,299,91.9,91,68.9,331=,35.6,243,32.0,307,56.9,257,34.1,401,7.9,701+,10.8,700,57.7,262,68.5,77,63.1,232=
University of Waikato,New Zealand,NZ,Oceania,M,CO,VH,4,Public,281,235,250,331,47.3,39.5,28.2,446,18.8,691,16.2,801+,82.1,144,99.5,116,79.7,223,81.6,192,49.0,801+,58.4,282,84.8,112=,18.4,484,13.2,601+,11.3,701+,75.0,128,99.3,91,73.3,192,17.5,568,44.5,162,79.8,152=
University of Warmia and Mazury in Olsztyn,Poland,PL,Europe,L,FC,HI,2,Public,1001-1200,1001-1200,1201-1400,1001-1200,-,-,10.8,701+,14.5,701+,42.0,478,7.7,801+,2.6,801+,4.6,801+,9.0,801+,42.6,801+,4.0,801+,43.7,801+,6.0,601+,10.8,601+,24.2,589,3.5,701+,2.0,701+,2.7,701+,4.3,701+,6.3,701+,1.3,701+
University of Warsaw,Poland,PL,Europe,XL,CO,VH,5,Public,271,258,262,284=,48.3,38.1,61.0,168,62.8,175,59.5,304,10.0,801+,13.5,801+,15.7,801+,21.8,733,85.9,238,74.4,186,74.0,259=,48.7,169,53.4,150,41.9,375,6.3,701+,9.8,701+,8.6,701+,62.1,233,36.7,204,80,150=
University of Washington,United States,US,Americas,XL,FC,VH,5,Public,81,76,63,80,72.7,69.2,90.1,68,74.8,128,49.2,391,69.2,221,14.7,801+,45.8,441,34.2,561,95.0,83,79.9,160,74.9,237=,84.0,58,50.4,168,19.1,692,93.5,62,19.0,600,33.2,392,94.0,59,70,74,88.1,106=
University of Waterloo,Canada,CA,Americas,XL,CO,VH,4,Public,119,115,112,154,65.7,58.1,53.0,209,74.2,130,8.8,801+,88.3,108,81.5,283,76.6,247,78.9,219,83.5,285,72.0,201,90.5,60,40.7,208,66.7,117,6.8,701+,82.9,100,76.8,241,77.9,172,55.4,281,55.9,112,97.1,36=
University of West Bohemia,Czech Republic,CZ,Europe,M,CO,VH,3,Public,1401+,1201-1400,1201-1400,1201-1400,-,-,7.2,701+,5.3,701+,12.5,801+,7.9,801+,,,6.2,801+,4.8,801+,40.9,801+,15.5,801+,19.5,801+,5.9,601+,2.0,601+,11.9,701+,4.3,701+,,,,,2.7,701+,11.4,701+,1,701+
University of Westminster,United Kingdom,UK,Europe,L,CO,HI,3,Public,801-850,741-750,711-720,701-750,-,-,12.3,701+,11.4,701+,7.1,801+,9.0,801+,85.2,257,99.2,65,99.2,54,37.6,801+,34.2,498,40.3,801+,12.9,601+,6.7,601+,5.9,701+,6.0,701+,78.4,235,100.0,28,1.9,701+,16.3,515,1.9,701+
University of Windsor,Canada,CA,Americas,L,CO,VH,5,Public,546,547,641-650,751-800,30.2,-,5.1,701+,7.1,701+,2.7,801+,58.2,299,89.4,228,94.6,132,95.0,110,49.5,801+,34.4,497,68.7,339=,3.6,601+,4.8,601+,2.3,701+,33.1,411,87.6,195,75.1,184,6.1,701+,20.4,409,6.4,701+
University of Wisconsin-Madison,United States,US,Americas,XL,FC,VH,5,Public,110,116,102,83=,66.6,60.0,85.7,78,63.1,172,84.3,141,28.1,606,57.7,400,37.0,527,42.6,488,88.9,192,91.0,96,72.5,281=,80.2,71,47.8,182,61.3,229,37.4,376,30.9,483,22.8,501,83.6,126,73.1,61,83.7,126=
University of Wisconsin Milwaukee,United States,US,Americas,L,CO,VH,5,Public,1201-1400,1201-1400,1001-1200,1001-1200,-,-,9.0,701+,3.8,701+,13.8,801+,15.3,801+,11.8,801+,12.4,801+,9.4,801+,37.0,801+,16.0,801+,46.3,801+,8.3,601+,2.7,601+,8.8,701+,13.4,671,6.6,701+,3.9,701+,4.1,701+,10.2,701+,11.8,644=
University of Witwatersrand,South Africa,ZA,,L,FC,VH,5,A,,,=264,428=,,37.9,,,,,,,,,,,,,,,,,,,,,25.7,341,43.0,214,10.9,701+,27.7,453,79.9,229,7.5,701+,92.4,65,96.7,21,62.5,239=
University of Wollongong,Australia,AU,Oceania,L,FC,VH,3,Public,184,167,162,185=,57.5,50.1,41.6,287,33.1,434,21.1,801+,95.6,66,99.5,113,82.2,211,83.8,179,88.6,197,25.8,626,86.1,98=,29.7,290,25.1,382,16.3,701+,93.8,60,95.6,146,56.0,265,72.7,186,17.1,492,92.3,75=
University of Wolverhampton,United Kingdom,UK,Europe,L,CO,HI,5,Public,1001-1200,1001-1200,1001-1200,1001-1200,-,-,3.1,701+,3.7,701+,14.0,801+,14.9,801+,40.8,493,78.9,228,80.9,198,55.7,756,5.9,801+,31.0,801+,3.4,601+,3.2,601+,10.4,701+,9.4,701+,34.7,457,72.1,200,3.7,701+,8.8,701+,1.4,701+
University of Wroclaw,Poland,PL,Europe,L,CO,VH,4,Public,801-850,851-900,901-950,801-1000,-,-,20.6,599,22.0,603,45.0,436,6.9,801+,7.2,801+,15.6,801+,21.7,736,63.2,648,18.5,749,45.3,801+,14.8,589,14.4,569,28.4,539,4.2,701+,5.0,701+,7.6,701+,7.7,701+,12.1,701+,7.3,701+
University of Wyoming,United States,US,Americas,M,CO,VH,5,Public,1001-1200,1001-1200,1001-1200,801-1000,-,-,3.6,701+,2.3,701+,39.4,515,29.6,592,12.6,801+,8.1,801+,13.5,801+,52.0,801+,10.6,801+,43.4,801+,3.0,601+,1.4,601+,25.9,570,23.4,508,7.7,701+,4.0,701+,10.7,660,9.8,701+,6.3,701+
University of York,United Kingdom,UK,Europe,L,FC,VH,4,Public,169,184,167,162,59.4,49.4,56.8,197,42.3,317,55.8,335,53.8,344,92.4,208,75.4,253,77.8,223,96.0,58,41.0,427,93.2,34,43.5,194,35.3,275,45.0,351,40.3,342,88.3,192,78.2,171,79.2,150,19.8,421,97.8,26=
University of Zagreb,Croatia,HR,Europe,XL,FC,VH,5,Public,701-710,651-660,751-760,801-1000,-,-,23.2,545,12.8,701+,26.8,700,8.1,801+,1.9,801+,5.1,801+,10.0,801+,92.1,145,98.4,34,60.9,486=,16.2,539,4.7,601+,23.8,597,4.2,701+,1.5,701+,2.7,701+,74.2,176,44.8,158,19.2,549=
