University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
Nanjing University of Science and Technology,China,801-1000,600,32.7-36.9,19.8,5.1,2.2,18.0,18.3,68.6,82.2,42.0,10.9,16.8,35807.0,0.04,13.5,10.25,3.4,42.4,6.2,1.8
Thammasat University,Thailand,1201-1500,600,22.8-28.2,19.8,23.8,26.4,26.3,19.1,25.7,2.1,30.1,25.1,11.4,30488.0,0.01,11.6,1.7,2.0,38.1,72.5,29.4
Tulane University,United States,401-500,600,45.4-49.0,19.8,9.6,5.0,42.9,24.4,73.1,10.4,67.8,81.5,7.7,12217.0,0.09,16.9,14.5,45.5,50.7,22.7,21.4
"University of Nevada, Las Vegas",United States,601-800,,37.0-41.8,,10.95,9.5,29.3,25.6,64.7,10.4,51.5,16.85,23.2,26730.0,0.04,13.5,10.25,6.95,38.3,11.8,8.4
Örebro University,Sweden,601-800,,37.0-41.8,,10.95,9.5,20.1,22.5,77.9,10.4,43.8,16.85,15.6,10132.0,0.05,13.5,10.25,6.95,54.6,11.8,8.4
National University of Science and Technology (MISiS),Russian Federation,601-800,,37.0-41.8,,10.95,9.5,39.1,27.1,43.2,10.4,64.1,16.85,12.0,7198.0,0.21,13.5,10.25,6.95,65.6,11.8,8.4
Charles Darwin University,Australia,401-500,601-610,45.4-49.0,,5.8,4.7,24.8,32.5,73.9,41.3,36.3,4.0,33.6,7313.0,0.27,37.4,76.7,3.6,81.6,8.5,45.3
Universidade Estadual Paulista (Unesp),Brazil,601-800,,37.0-41.8,,10.95,9.5,41.5,33.1,38.1,10.4,40.5,16.85,12.8,34828.0,0.04,13.5,10.25,6.95,38.6,11.8,8.4
École Centrale de Lyon,France,601-800,,37.0-41.8,,10.95,9.5,36.0,25.7,32.6,10.4,82.5,16.85,16.4,2286.0,0.24,13.5,10.25,6.95,79.2,11.8,8.4
University of Sannio,Italy,601-800,,37.0-41.8,,10.95,9.5,23.6,20.5,63.6,10.4,71.1,16.85,13.4,2751.0,0.01,13.5,10.25,6.95,29.3,11.8,8.4
University of Sassari,Italy,601-800,,37.0-41.8,,10.95,9.5,31.1,24.7,66.3,10.4,45.7,16.85,38.1,15207.0,0.02,13.5,10.25,6.95,41.9,11.8,8.4
