University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
"University of Education, Lahore",Pakistan,1201-1500,,22.8-28.2,,10.95,9.5,11.4,9.1,56.9,10.4,15.9,16.85,30.6,26664.0,0.0,13.5,10.25,6.95,50.5,11.8,8.4
Ehime University,Japan,1201-1500,,22.8-28.2,,10.95,9.5,24.3,14.9,27.9,10.4,54.0,16.85,11.3,9101.0,0.02,13.5,10.25,6.95,32.1,11.8,8.4
National Research University of Electronic Technology (MIET),Russian Federation,1201-1500,,22.8-28.2,,10.95,9.5,43.8,14.9,10.7,10.4,50.2,16.85,9.5,5032.0,0.07,13.5,10.25,6.95,25.5,11.8,8.4
Kharkiv National University of Radio Electronics,Ukraine,1001-1200,1201-1400,28.3-32.6,,3.7,13.1,22.2,9.4,28.0,1.5,16.5,26.0,10.8,7744.0,0.11,1.4,10.9,1.0,32.9,10.5,2.1
St Petersburg Electrotechnical University (LETI),Russian Federation,1201-1500,,22.8-28.2,,10.95,9.5,22.6,16.4,22.8,10.4,37.6,16.85,13.6,8712.0,0.2,13.5,10.25,6.95,41.7,11.8,8.4
Université Sorbonne Nouvelle,France,1201-1500,,22.8-28.2,,10.95,9.5,25.7,15.3,20.8,10.4,15.6,16.85,23.7,16357.0,0.26,13.5,10.25,6.95,70.0,11.8,8.4
Nova Southeastern University,United States,801-1000,1201-1400,32.7-36.9,,2.9,3.3,39.1,12.2,50.1,3.1,38.9,14.0,16.5,17973.0,0.04,4.4,3.9,1.1,34.4,10.2,8.4
Óbuda University,Hungary,1001-1200,1201-1400,28.3-32.6,,4.5,3.9,14.4,16.4,55.7,6.6,20.7,2.1,34.4,10997.0,0.07,13.6,7.6,1.3,42.6,5.6,1.0
Ochanomizu University,Japan,1201-1500,,22.8-28.2,,10.95,9.5,33.2,16.5,19.7,10.4,36.5,16.85,14.5,2678.0,0.06,13.5,10.25,6.95,38.2,11.8,8.4
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,1201-1500,,22.8-28.2,,10.95,9.5,17.8,11.3,36.4,10.4,16.8,16.85,17.0,9258.0,0.13,13.5,10.25,6.95,36.1,11.8,8.4
National Research University Moscow Power Engineering Institute,Russia,,1201-1400,,,5.8,3.5,25.8,17.2,52.4,2.0,41.0,11.7,16.3,16267.0,0.06,7.9,45.0,1.1,45.3,7.8,1.4
Universidad de Carabobo,Venezuela,,1201-1400,,,3.7,8.0,25.8,17.2,52.4,1.0,41.0,18.3,17.1,25198.0,0.0,13.5,10.25,1.0,45.3,14.5,1.0
Cardiff Metropolitan University,United Kingdom,1201-1500,,22.8-28.2,,10.95,9.5,20.3,12.8,34.8,10.4,41.3,16.85,18.1,9665.0,0.2,13.5,10.25,6.95,78.7,11.8,8.4
Universidad de San Carlos de Guatemala - USAC,Guatemala,,1201-1400,,,9.3,7.6,25.8,17.2,52.4,1.0,41.0,3.9,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,20.6,1.0
Universidad del Desarrollo,Chile,1001-1200,1201-1400,28.3-32.6,,6.6,14.6,17.8,10.8,53.0,2.2,21.2,12.9,14.4,16638.0,0.04,7.6,2.0,1.1,52.2,8.4,3.5
Universitatea de Vest din Timisoara / West University of Timisoara,Romania,,1201-1400,,,9.6,6.3,25.8,17.2,52.4,2.6,41.0,4.8,16.3,16267.0,0.06,1.6,5.2,1.1,45.3,8.2,1.1
National University of Distance Education (UNED),Spain,1201-1500,,22.8-28.2,,10.95,9.5,24.9,18.9,37.8,10.4,35.8,16.85,67.5,80478.0,0.04,13.5,10.25,6.95,31.0,11.8,8.4
University of Diyala,Iraq,1201-1500,,22.8-28.2,,10.95,9.5,26.6,8.2,44.3,10.4,20.5,16.85,17.9,29461.0,0.0,13.5,10.25,6.95,28.3,11.8,8.4
Oles Honchar Dnipro National University,Ukraine,1201-1500,,22.8-28.2,,10.95,9.5,25.1,9.0,7.4,10.4,18.9,16.85,10.1,7478.0,0.02,13.5,10.25,6.95,21.5,11.8,8.4
Dokuz Eylül Üniversitesi,Turkey,1201-1500,1201-1400,22.8-28.2,,5.7,5.9,19.4,18.2,25.5,2.4,67.1,2.9,23.7,56667.0,0.03,3.2,6.2,2.1,25.5,7.5,16.7
University of Ostrava,Czech Republic,1501+,1201-1400,9.7-22.7,,6.0,1.0,19.5,16.3,23.2,4.1,18.2,19.9,16.0,8526.0,0.09,18.6,12.3,1.8,46.2,7.7,1.2
California Polytechnic State University,United States,,1201-1400,,,3.7,9.3,25.8,17.2,52.4,3.4,41.0,7.0,16.3,16267.0,0.06,13.5,10.25,1.5,45.3,13.2,8.4
"Rutgers, The State University of New Jersey, Camden",United States,,1201-1400,,,3.9,3.0,25.8,17.2,52.4,4.3,41.0,17.6,16.3,16267.0,0.06,22.2,3.0,1.0,45.3,6.9,8.4
Instituto Politécnico de Bragança,Portugal,1201-1500,,22.8-28.2,,10.95,9.5,13.1,13.5,42.6,10.4,21.2,16.85,20.6,9626.0,0.34,13.5,10.25,6.95,64.5,11.8,8.4
M.Kh. Dulaty Taraz Regional University,Kazakhstan,,1201-1400,,,6.6,2.6,25.8,17.2,52.4,1.0,41.0,10.8,16.3,16267.0,0.06,13.5,20.5,1.0,45.3,9.9,1.0
Duzce University,Turkey,1201-1500,,22.8-28.2,,10.95,9.5,15.5,19.9,44.7,10.4,50.7,16.85,33.4,21641.0,0.09,13.5,10.25,6.95,30.2,11.8,8.4
Opole University of Technology,Poland,1201-1500,,22.8-28.2,,10.95,9.5,18.5,13.8,37.3,10.4,18.5,16.85,13.7,5096.0,0.06,13.5,10.25,6.95,36.1,11.8,8.4
Universidad de Cartagena,Colombia,1201-1500,1201-1400,22.8-28.2,,4.9,5.4,13.8,9.1,56.8,4.3,17.2,4.0,21.3,21749.0,0.01,2.2,1.1,1.0,41.2,6.8,11.0
University of Carthage,Tunisia,1201-1500,,22.8-28.2,,10.95,9.5,23.8,9.9,31.2,10.4,20.7,16.85,10.1,29691.0,0.01,13.5,10.25,6.95,44.4,11.8,8.4
Université Hassan II de Casablanca,Morocco,1201-1500,,22.8-28.2,,10.95,9.5,19.5,9.2,39.9,10.4,24.6,16.85,35.7,125790.0,0.02,13.5,10.25,6.95,28.2,11.8,8.4
Fu Jen Catholic University,Taiwan,1001-1200,1201-1400,28.3-32.6,,7.3,7.5,24.0,29.2,26.3,6.8,65.5,4.3,27.2,16382.0,0.06,7.9,7.4,1.0,31.1,21.8,1.5
University of Shanghai for Science and Technology,China,1201-1500,,22.8-28.2,,10.95,9.5,23.1,11.5,40.4,10.4,36.7,16.85,10.5,26472.0,0.02,13.5,10.25,6.95,26.6,11.8,8.4
University POLITEHNICA of Bucharest,Romania,1501+,1201-1400,9.7-22.7,,5.7,8.7,19.8,11.4,28.8,6.4,29.7,3.5,23.2,29166.0,0.04,1.5,2.8,17.9,24.2,6.4,1.2
University of Burgos,Spain,1201-1500,,22.8-28.2,,10.95,9.5,22.1,14.7,41.7,10.4,39.7,16.85,13.5,7764.0,0.05,13.5,10.25,6.95,38.0,11.8,8.4
University of the Pacific,United States,,1201-1400,,,2.2,3.7,25.8,17.2,52.4,3.4,41.0,34.3,16.3,16267.0,0.06,4.2,7.2,1.0,45.3,10.8,1.0
Don State Technical University,Russia,1001-1200,1201-1400,28.3-32.6,,4.2,3.1,20.6,9.0,54.9,1.4,17.9,13.3,12.4,26030.0,0.12,1.6,14.8,1.0,31.7,7.2,1.3
National Dong Hwa University,Taiwan,1201-1500,1201-1400,22.8-28.2,,6.3,2.3,19.1,23.8,26.3,6.4,33.5,6.5,18.6,9970.0,0.09,3.2,10.2,1.0,48.6,7.6,2.3
Dow University of Health Sciences,Pakistan,1201-1500,,22.8-28.2,,10.95,9.5,24.2,10.0,46.5,10.4,18.7,16.85,7.7,11555.0,0.03,13.5,10.25,6.95,43.2,11.8,8.4
University of International Business and Economics,China,,1201-1400,,,3.8,1.8,25.8,17.2,52.4,2.7,41.0,10.2,16.3,16267.0,0.06,7.4,32.8,1.0,45.3,14.8,1.1
German University in Cairo,Egypt,1501+,1201-1400,9.7-22.7,,7.9,11.4,18.6,8.7,34.0,2.1,16.8,7.3,12.8,12332.0,0.02,14.2,1.2,1.0,48.6,6.0,1.0
Católica de Córdoba,Argentina,,1201-1400,,,4.7,2.7,25.8,17.2,52.4,1.2,41.0,18.1,16.3,16267.0,0.06,4.2,4.8,1.0,45.3,9.1,1.0
Universidad del Salvador,Argentina,,1201-1400,,,4.3,9.0,25.8,17.2,52.4,1.0,41.0,16.7,16.3,16267.0,0.06,5.3,8.0,1.0,45.3,7.1,8.4
Suez Canal University,Egypt,1001-1200,1201-1400,28.3-32.6,,3.9,2.6,19.7,8.8,57.6,2.2,28.3,16.2,13.1,45981.0,0.01,2.2,1.8,5.7,50.6,4.7,1.2
Universidade Federal do ABC (UFABC),Brazil,1201-1500,,22.8-28.2,,10.95,9.5,16.8,17.6,41.1,10.4,26.6,16.85,25.3,18805.0,0.01,13.5,10.25,6.95,45.9,11.8,8.4
Universiti Sultan Zainal Abidin,Malaysia,1201-1500,,22.8-28.2,,10.95,9.5,24.1,11.3,38.6,10.4,16.5,16.85,17.7,12271.0,0.07,13.5,10.25,6.95,47.0,11.8,8.4
Université Jean Moulin Lyon 3,France,1501+,1201-1400,9.7-22.7,,8.9,3.4,14.3,13.6,13.6,2.2,27.5,1.8,39.0,27655.0,0.18,25.5,30.8,1.0,60.8,7.1,1.1
Youngsan University,South Korea,,1201-1400,,,5.7,10.6,25.8,17.2,52.4,1.3,41.0,17.5,16.3,16267.0,0.06,2.8,5.9,1.0,45.3,6.6,8.4
University of Peradeniya,Sri Lanka,1001-1200,1201-1400,28.3-32.6,,7.8,9.9,18.4,9.2,58.6,2.0,23.3,14.9,13.9,22336.0,0.01,1.0,1.3,2.2,39.8,10.8,2.2
Southwest Petroleum University,China,1201-1500,,22.8-28.2,,10.95,9.5,17.9,15.1,38.3,10.4,53.1,16.85,15.9,33002.0,0.02,13.5,10.25,6.95,21.8,11.8,8.4
Daffodil International University,Bangladesh,,1201-1400,,,8.0,16.5,25.8,17.2,52.4,2.4,41.0,3.9,22.0,17236.0,0.05,4.8,2.0,1.0,45.3,10.1,2.0
Universidad de Panama,Panama,,1201-1400,,,6.5,8.0,25.8,17.2,52.4,1.1,41.0,3.2,16.3,16267.0,0.06,4.9,2.3,1.0,45.3,13.7,1.2
University of Pannonia,Hungary,1501+,1201-1400,9.7-22.7,,4.5,3.5,22.2,15.6,21.5,8.3,45.5,23.7,19.5,5241.0,0.07,13.5,9.2,5.9,37.9,5.8,1.0
Damascus University,Syrian Arab Republic,,1201-1400,,,5.1,4.2,25.8,17.2,52.4,1.2,41.0,1.1,16.3,16267.0,0.06,1.6,3.9,1.0,45.3,64.0,1.1
Portland State University,United States,801-1000,1201-1400,32.7-36.9,,4.3,2.1,22.1,23.2,55.7,10.5,54.7,9.5,20.5,18763.0,0.05,1.6,5.3,4.9,35.0,10.3,18.4
East West University,Bangladesh,,1201-1400,,,5.8,14.6,25.8,17.2,52.4,2.5,41.0,3.1,16.3,16267.0,0.06,1.3,1.0,1.0,45.3,10.5,1.0
"Suleyman Demirel University, Kazakhstan",Kazakhstan,,1201-1400,,,9.8,8.5,25.8,17.2,52.4,1.3,41.0,3.6,16.3,16267.0,0.06,3.9,1.2,1.0,45.3,12.7,1.1
Suleyman Demirel University,Turkey,1501+,1201-1400,9.7-22.7,,6.8,3.8,23.5,9.8,29.9,2.4,18.6,4.1,32.3,39648.0,0.05,1.8,5.1,1.5,25.6,7.5,1.1
University of San Carlos,Philippines,,1201-1400,,,6.2,8.6,25.8,17.2,52.4,1.8,41.0,3.4,16.3,16267.0,0.06,1.9,2.2,1.0,45.3,9.4,8.4
University of North Carolina at Greensboro,United States,,1201-1400,,,2.9,2.8,25.8,17.2,52.4,10.6,41.0,9.2,16.3,16267.0,0.06,9.7,2.6,7.6,45.3,7.1,8.4
Sookmyung Women's University,South Korea,,1201-1400,,,5.4,6.4,25.8,17.2,52.4,4.5,41.0,21.4,16.3,16267.0,0.06,4.7,2.0,1.0,45.3,7.3,1.0
Saitama University,Japan,1501+,1201-1400,9.7-22.7,,4.5,1.8,22.9,15.5,19.4,9.2,41.2,14.1,15.3,8321.0,0.06,10.5,6.2,1.2,41.5,7.9,2.2
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,Russia,,1201-1400,,,7.1,3.5,25.8,17.2,52.4,1.3,41.0,7.7,13.3,11059.0,0.05,2.0,4.8,1.0,45.3,9.9,5.3
Acharya Nagarjuna University,India,1201-1500,,22.8-28.2,,10.95,9.5,44.8,9.6,21.2,10.4,26.0,16.85,7.3,5771.0,0.07,13.5,10.25,6.95,29.2,11.8,8.4
University of Pau and Pays de l'Adour,France,1201-1500,,22.8-28.2,,10.95,9.5,23.4,12.4,21.6,10.4,28.5,16.85,13.9,14105.0,0.15,13.5,10.25,6.95,79.9,11.8,8.4
Universidad Nacional Agraria la Molina,Peru,,1201-1400,,,6.8,8.7,25.8,17.2,52.4,1.6,41.0,14.6,13.2,8139.0,0.02,1.4,1.8,1.0,45.3,9.8,1.0
Universidad Nacional del Litoral,Argentina,1501+,1201-1400,9.7-22.7,,11.7,5.8,12.0,9.4,16.9,2.7,24.1,2.2,35.2,50145.0,0.0,1.5,1.1,1.1,29.2,2.7,3.2
Selçuk University,Turkey,1201-1500,,22.8-28.2,,10.95,9.5,22.4,14.4,36.7,10.4,58.2,16.85,14.0,32183.0,0.08,13.5,10.25,6.95,34.1,11.8,8.4
Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,1001-1200,1201-1400,28.3-32.6,,6.9,3.8,32.9,16.9,42.3,7.8,39.2,10.5,21.1,12686.0,0.01,2.4,2.2,1.2,35.1,6.7,4.1
Universidad Central del Ecuador,Ecuador,,1201-1400,,,8.5,5.0,25.8,17.2,52.4,1.2,41.0,10.9,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,10.1,1.0
Central Michigan University,United States,1001-1200,1201-1400,28.3-32.6,,3.6,4.2,28.8,15.3,46.8,8.1,44.9,7.8,18.3,13780.0,0.03,3.5,3.1,2.1,33.4,10.8,8.4
University of Central Oklahoma,United States,,1201-1400,,,3.8,1.5,25.8,17.2,52.4,1.4,41.0,7.9,16.3,16267.0,0.06,16.8,10.9,1.0,45.3,9.4,8.4
University of Rijeka,Croatia,1501+,1201-1400,9.7-22.7,,5.9,2.7,18.7,16.7,29.9,4.3,25.8,17.1,15.6,13163.0,0.03,2.6,1.9,5.7,29.2,10.1,2.6
Slovak University of Agriculture in Nitra,Slovakia,1201-1500,,22.8-28.2,,10.95,9.5,23.6,12.2,27.4,10.4,18.9,16.85,11.9,4550.0,0.05,13.5,10.25,6.95,48.5,11.8,8.4
"The University of Agriculture, Peshawar",Pakistan,1201-1500,,22.8-28.2,,10.95,9.5,15.6,10.2,36.5,10.4,22.3,16.85,35.3,11262.0,0.01,13.5,10.25,6.95,48.1,11.8,8.4
Kharazmi University,Iran,1201-1500,,22.8-28.2,,10.95,9.5,32.7,13.8,37.2,10.4,25.0,16.85,16.8,12604.0,0.03,13.5,10.25,6.95,29.5,11.8,8.4
Université de Limoges,France,,1201-1400,,,6.1,1.9,25.8,17.2,52.4,7.2,41.0,18.2,16.3,16267.0,0.06,13.5,10.25,16.7,45.3,6.4,8.4
University of Yamanashi,Japan,1201-1500,,22.8-28.2,,10.95,9.5,27.8,13.1,25.9,10.4,45.4,16.85,6.2,4616.0,0.05,13.5,10.25,6.95,29.0,11.8,8.4
Yamagata University,Japan,1201-1500,,22.8-28.2,,10.95,9.5,28.0,15.3,24.8,10.4,72.2,16.85,8.8,8657.0,0.02,13.5,10.25,6.95,32.3,11.8,8.4
Xiangtan University,China,1201-1500,,22.8-28.2,,10.95,9.5,17.0,15.9,49.0,10.4,33.7,16.85,20.6,33943.0,0.0,13.5,10.25,6.95,21.8,11.8,8.4
Yasouj University,Iran,1201-1500,,22.8-28.2,,10.95,9.5,14.7,14.5,52.3,10.4,20.1,16.85,25.8,6236.0,0.0,13.5,10.25,6.95,22.4,11.8,8.4
Ferhat Abbas Sétif University 1,Algeria,1201-1500,,22.8-28.2,,10.95,9.5,17.2,8.5,50.6,10.4,17.7,16.85,22.8,34779.0,0.01,13.5,10.25,6.95,39.6,11.8,8.4
Universidad Autónoma de Aguascalientes,Mexico,,1201-1400,,,3.3,1.9,25.8,17.2,52.4,1.2,41.0,34.2,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,3.9,1.0
Akdeniz Üniversitesi,Turkey,1001-1200,1401+,28.3-32.6,,5.2,3.8,22.7,27.3,42.6,2.8,54.7,3.4,47.3,46464.0,0.04,1.2,1.1,1.9,25.2,7.5,1.0
Rajshahi University,Bangladesh,1001-1200,1401+,28.3-32.6,,9.2,9.7,15.9,9.3,59.3,10.4,17.6,16.85,20.4,22042.0,0.0,13.5,10.25,1.1,39.6,11.8,8.4
University of Kragujevac,Serbia,1001-1200,1401+,28.3-32.6,,4.0,2.4,23.8,10.7,60.0,3.6,21.2,10.3,13.7,16543.0,0.01,1.0,1.1,2.7,31.8,9.2,1.0
Universitas Kristen Petra,Indonesia,,1401+,,,6.1,4.2,25.8,17.2,52.4,1.6,41.0,7.3,16.3,16267.0,0.06,2.7,1.4,1.0,45.3,8.1,8.4
University of Lagos,Nigeria,1001-1200,1401+,28.3-32.6,,7.4,5.6,14.6,14.4,65.5,10.4,20.9,16.85,27.5,41048.0,0.0,13.5,10.25,1.5,41.5,11.8,8.4
Universidad Tecnológica de Pereira,Colombia,1501+,1401+,9.7-22.7,,4.0,7.1,15.0,4.6,14.8,1.9,19.2,3.3,17.8,17877.0,0.0,1.4,1.0,1.0,32.4,6.7,1.0
Cukurova University,Turkey,1201-1500,1401+,22.8-28.2,,4.4,2.8,23.8,23.4,26.2,2.5,26.7,4.5,15.4,35424.0,0.04,2.1,5.0,3.8,28.9,6.9,13.9
Universidade do Estado de Santa Catarina,Brazil,1501+,1401+,9.7-22.7,,3.9,1.3,26.5,11.0,15.7,1.6,17.0,20.2,11.5,12417.0,0.01,13.5,10.25,1.0,21.2,5.1,1.0
Shahjalal University of Science and Technology,Bangladesh,1201-1500,1401+,22.8-28.2,,6.8,8.9,13.2,8.4,43.4,10.4,16.6,16.85,17.8,9585.0,0.0,13.5,10.25,1.0,44.8,11.8,8.4
Sudan University of Science and Technology,Sudan,,1401+,,,4.1,2.7,25.8,17.2,52.4,1.2,41.0,3.2,16.3,16267.0,0.06,1.9,1.6,1.0,45.3,9.4,1.0
Universidad de Sonora,Mexico,1501+,1401+,9.7-22.7,,4.0,1.7,13.6,8.4,13.6,1.8,32.3,4.5,26.0,34176.0,0.01,3.7,1.5,1.0,34.9,8.2,1.0
Universidad de Caldas,Colombia,1501+,1401+,9.7-22.7,,5.4,4.0,10.1,11.0,9.0,1.5,53.2,3.0,58.2,27456.0,0.0,13.5,10.25,1.0,32.2,6.2,1.0
Universidad Católica de La Santísima Concepción - UCSC,Chile,1501+,1401+,9.7-22.7,,3.7,2.4,13.2,14.9,22.9,2.6,16.9,8.6,22.9,9879.0,0.0,5.5,1.1,1.2,48.9,4.1,1.4
Sakarya University,Turkey,1201-1500,1401+,22.8-28.2,,3.7,3.0,16.5,10.6,45.4,3.1,24.0,2.8,26.6,42601.0,0.07,1.7,12.6,1.3,28.4,7.5,1.0
Universidad de Santander - UDES,Colombia,,1401+,,,3.8,2.9,25.8,17.2,52.4,1.3,41.0,6.7,19.3,18521.0,0.01,8.7,1.6,1.0,45.3,8.0,1.0
Pontificia Universidade Católica do Campinas - PUC Campinas,Brazil,,1401+,,,4.9,3.3,25.8,17.2,52.4,2.0,41.0,6.4,16.3,16267.0,0.06,2.4,1.2,1.0,45.3,9.6,1.0
University of Oradea,Romania,1201-1500,1401+,22.8-28.2,,5.0,2.0,16.7,14.6,35.0,1.7,16.9,3.6,17.5,15820.0,0.06,1.6,7.0,1.8,41.0,5.9,2.2
Université Sorbonne Paris Nord,France,,1401+,,,9.5,5.1,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,14.3,45.3,11.8,8.4
University of Stavanger,Norway,601-800,1401+,37.0-41.8,,7.2,5.7,24.7,15.6,66.6,10.4,30.2,16.85,10.5,11428.0,0.13,13.5,10.25,26.3,74.4,11.8,8.4
Universidade Estadual de Londrina,Brazil,,1401+,,,3.5,2.5,25.8,17.2,52.4,3.5,41.0,13.4,16.3,16267.0,0.06,2.2,1.3,1.1,45.3,3.8,3.4
Universidade Federal de Goiás,Brazil,1201-1500,1401+,22.8-28.2,,3.6,1.6,30.0,13.8,26.2,4.2,30.8,7.1,13.3,25332.0,0.01,3.7,1.3,1.5,27.7,3.8,1.4
Universidade Federal do Rio Grande Do Norte,Brazil,1201-1500,1401+,22.8-28.2,,4.6,1.5,25.3,11.3,30.6,3.2,24.8,8.6,16.7,42906.0,0.0,13.5,10.25,5.6,31.3,3.8,1.4
Universidad Tecnológica de Bolívar,Colombia,,1401+,,,2.6,5.4,25.8,17.2,52.4,2.5,41.0,2.8,21.8,5714.0,0.0,8.3,6.6,1.0,45.3,9.0,1.0
"Universidad Católica Boliviana ""San Pablo""",Bolivia,,1401+,,,5.3,3.2,25.8,17.2,52.4,1.1,41.0,3.9,16.3,16267.0,0.06,2.5,3.0,1.0,45.3,16.1,8.4
Moscow City University,Russia,,1401+,,,6.1,1.6,25.8,17.2,52.4,1.1,41.0,9.3,16.3,16267.0,0.06,2.9,3.6,1.0,45.3,7.6,1.2
UNIVERSIDAD POLITECNICA SALESIANA,Ecuador,1501+,1401+,9.7-22.7,,6.0,3.0,11.6,9.5,13.6,1.5,15.8,3.7,24.2,22513.0,0.01,7.0,1.7,1.0,42.0,6.1,1.0
"University Politehnica of Timisoara, UPT",Romania,,1401+,,,4.0,3.4,25.8,17.2,52.4,3.6,41.0,8.6,16.3,16267.0,0.06,1.2,2.9,1.3,45.3,8.5,1.0
Universidad Católica de Colombia,Colombia,,1401+,,,6.4,4.9,25.8,17.2,52.4,1.5,41.0,5.2,20.3,10196.0,0.01,3.2,1.3,1.0,45.3,7.9,1.6
Universidade Federal do Parà - UFPA,Brazil,,1401+,,,3.4,1.8,25.8,17.2,52.4,2.5,41.0,6.7,16.3,16267.0,0.06,2.8,1.1,1.9,45.3,3.8,6.4
Universidade Federal da Paraíba,Brazil,,1401+,,,4.1,2.7,25.8,17.2,52.4,3.1,41.0,8.7,13.9,38158.0,0.0,2.7,1.1,3.3,45.3,3.8,1.4
Universidad Nacional del Sur,Argentina,,1401+,,,5.9,2.5,25.8,17.2,52.4,1.8,41.0,14.1,16.3,16267.0,0.06,13.5,10.25,2.1,45.3,5.1,1.1
Universidad Nacional de Tucumán,Argentina,,1401+,,,7.4,2.7,25.8,17.2,52.4,1.6,41.0,2.6,16.3,16267.0,0.06,13.5,10.25,2.3,45.3,5.1,1.0
Universidade Federal do Estado do Rio de Janeiro - UNIRIO,Brazil,,1401+,,,3.2,1.9,25.8,17.2,52.4,2.1,41.0,10.0,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,3.8,1.0
Universidade Federal de Uberlândia,Brazil,1201-1500,1401+,22.8-28.2,,3.6,1.9,23.3,12.7,36.1,3.5,29.8,12.6,14.1,25700.0,0.01,2.2,1.3,1.8,24.4,3.8,10.9
Technische Universität Bergakademie Freiberg,Germany,,1401+,,,5.5,4.6,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,4.9,45.3,11.8,8.4
Technische Universität Hamburg-Harburg,Germany,,1401+,,,8.8,5.6,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,2.8,45.3,11.8,8.4
Georgian Technical University,Georgia,1501+,1401+,9.7-22.7,,6.3,4.2,32.4,9.3,22.2,10.4,16.1,16.85,15.0,19873.0,0.02,13.5,10.25,1.0,40.8,11.8,8.4
Guru Gobind Singh Indraprastha University,India,,1401+,,,3.3,2.6,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,11.8,8.4
Universidad Nacional de Quilmes,Argentina,,1401+,,,7.4,2.2,25.8,17.2,52.4,1.8,41.0,3.2,32.4,42123.0,0.02,3.1,1.8,1.0,45.3,5.1,1.0
Stamford University Bangladesh,Bangladesh,,1401+,,,10.0,2.8,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,1.0,45.3,11.8,8.4
California State University Long Beach,United States,,1401+,,,4.0,2.8,25.8,17.2,52.4,10.4,41.0,8.1,16.3,16267.0,0.06,13.5,10.25,6.95,45.3,9.6,8.4
University of Ibadan,Nigeria,801-1000,1401+,32.7-36.9,,9.0,6.6,27.6,14.4,59.3,10.4,24.4,16.85,19.7,41269.0,0.0,13.5,10.25,8.2,41.0,11.8,8.4
Universidad Michoacana de San Nicolás de Hidalgo,Mexico,,1401+,,,3.9,1.8,25.8,17.2,52.4,2.1,41.0,2.9,16.3,16267.0,0.06,13.5,10.25,1.1,45.3,3.9,1.0
MIREA - Russian Technological University,Russia,1501+,1401+,9.7-22.7,,5.2,4.9,15.0,11.7,8.6,1.4,48.1,7.5,21.5,26765.0,0.05,1.3,3.4,1.0,22.2,7.3,1.0
Universitas Muhammadiyah Surakarta,Indonesia,,1401+,,,5.3,2.4,25.8,17.2,52.4,1.1,41.0,7.8,16.3,16267.0,0.06,6.5,1.1,1.0,45.3,7.1,1.4
Pontifícia Universidade Católica do Paraná,Brazil,1201-1500,1401+,22.8-28.2,,4.3,2.7,26.3,12.8,34.3,4.2,43.0,6.0,13.0,11476.0,0.01,1.9,1.4,1.4,30.7,5.6,1.0
University of Craiova,Romania,1501+,1401+,9.7-22.7,,4.1,2.0,18.3,11.5,25.2,2.0,18.4,2.9,20.9,16907.0,0.04,13.5,10.25,1.1,24.0,7.9,1.0
Technical University of Crete,Greece,1201-1500,1401+,22.8-28.2,,5.9,5.4,13.1,11.1,50.4,10.4,40.6,16.85,33.2,6935.0,0.04,13.5,10.25,2.6,40.7,11.8,8.4
Universidad de Cuenca,Ecuador,,1401+,,,6.3,2.3,25.8,17.2,52.4,2.3,41.0,4.4,16.3,16267.0,0.06,3.3,1.5,1.1,45.3,6.1,1.1
Universidad de Tarapaca,Chile,1201-1500,1401+,22.8-28.2,,3.6,2.3,12.4,19.0,45.1,8.0,19.4,2.1,31.8,10496.0,0.04,13.5,10.25,2.6,59.0,4.1,1.0
Universidad Autónoma de Chile,Chile,1001-1200,1401+,28.3-32.6,,5.5,2.2,12.5,12.2,54.5,2.9,16.1,4.9,25.5,30336.0,0.01,11.1,1.4,1.9,55.4,8.5,1.7
Humboldt State University,United States,,1401+,,,3.8,2.2,25.8,17.2,52.4,4.6,41.0,8.9,14.8,5285.0,0.01,2.3,1.6,1.0,45.3,7.9,8.4
Universidad del Valle de Mexico,Mexico,,1401+,,,3.7,13.3,25.8,17.2,52.4,1.0,41.0,4.6,16.3,16267.0,0.06,1.2,1.3,1.0,45.3,4.2,1.0
Illinois State University,United States,,1401+,,,3.7,3.5,25.8,17.2,52.4,5.2,41.0,5.9,16.3,16267.0,0.06,4.9,2.5,1.1,45.3,10.9,8.4
Indian Statistical Institute,India,,1401+,,,7.5,3.4,25.8,17.2,52.4,10.4,41.0,16.85,16.3,16267.0,0.06,13.5,10.25,1.9,45.3,11.8,8.4
